GPSXSelect GPSYSelect GPSZSelect
57.237 426.77 24.282
57.199 423.7 23.859
57.154 420.63 23.448
57.111 417.56 23.044
57.065 414.49 22.64
57.014 411.42 22.253
56.961 408.35 21.867
56.905 405.29 21.496
56.847 402.21 21.16
56.847 402.21 21.16
56.794 399.14 20.838
56.742 396.07 20.558
56.696 392.99 20.286
56.644 389.92 20.012
56.594 386.85 19.772
56.546 383.78 19.529
56.505 380.72 19.311
56.458 377.65 19.123
56.458 377.65 19.123
56.414 374.59 18.967
56.377 371.54 18.799
56.377 371.54 18.799
56.347 368.48 18.665
56.311 365.42 18.518
56.311 365.42 18.518
56.286 362.37 18.379
56.26 359.33 18.227
56.232 356.3 18.101
56.205 353.26 17.951
56.205 353.26 17.951
56.178 350.23 17.814
56.149 347.2 17.669
56.149 347.2 17.669
56.12 344.18 17.553
56.093 341.16 17.387
56.073 338.15 17.221
56.073 338.15 17.221
56.057 335.14 17.052
56.057 335.14 17.052
56.051 332.13 16.897
56.048 329.13 16.711
56.053 326.14 16.52
56.059 323.15 16.315
56.059 323.15 16.315
56.065 320.17 16.086
56.072 317.2 15.865
56.079 314.24 15.617
56.079 314.24 15.617
56.087 311.28 15.36
56.105 308.33 15.102
56.105 308.33 15.102
56.125 305.39 14.837
56.143 302.46 14.559
56.17 299.53 14.289
56.194 296.59 14.015
56.219 293.67 13.754
56.219 293.67 13.754
56.244 290.75 13.497
56.263 287.84 13.244
56.285 284.93 12.998
56.31 282.04 12.768
56.31 282.04 12.768
56.331 279.16 12.551
56.359 276.29 12.325
56.359 276.29 12.325
56.394 273.43 12.109
56.433 270.58 11.901
56.473 267.74 11.716
56.473 267.74 11.716
56.51 264.91 11.535
56.544 262.08 11.363
56.544 262.08 11.363
56.586 259.27 11.214
56.624 256.47 11.058
56.665 253.68 10.923
56.665 253.68 10.923
56.706 250.9 10.8
56.745 248.13 10.669
56.782 245.37 10.549
56.782 245.37 10.549
56.827 242.63 10.433
56.872 239.9 10.33
56.915 237.17 10.237
56.915 237.17 10.237
56.963 234.46 10.152
57.01 231.76 10.072
57.01 231.76 10.072
57.064 229.07 9.9831
57.116 226.4 9.9037
57.174 223.73 9.8158
57.174 223.73 9.8158
57.233 221.07 9.7216
57.291 218.43 9.6486
57.354 215.79 9.5506
57.354 215.79 9.5506
57.424 213.16 9.456
57.498 210.55 9.3663
57.498 210.55 9.3663
57.572 207.95 9.2613
57.641 205.35 9.1685
57.711 202.76 9.0681
57.781 200.18 8.9722
57.781 200.18 8.9722
57.845 197.6 8.8762
57.909 195.04 8.7875
57.968 192.48 8.6993
57.968 192.48 8.6993
58.026 189.94 8.5882
58.075 187.42 8.4657
58.075 187.42 8.4657
58.128 184.91 8.3626
58.165 182.4 8.2562
58.207 179.92 8.1966
58.207 179.92 8.1966
58.239 177.46 8.1257
58.268 174.99 8.0738
58.294 172.56 8.0128
58.294 172.56 8.0128
58.31 170.13 7.9603
58.322 167.72 7.897
58.325 165.32 7.8329
58.325 165.32 7.8329
58.319 162.93 7.7845
58.3 160.56 7.7152
58.273 158.2 7.6659
58.273 158.2 7.6659
58.234 155.86 7.6
58.189 153.53 7.542
58.189 153.53 7.542
58.142 151.2 7.4742
58.087 148.89 7.4127
58.033 146.6 7.3455
58.033 146.6 7.3455
57.97 144.31 7.2814
57.911 142.04 7.2002
57.848 139.78 7.1219
57.848 139.78 7.1219
57.778 137.53 7.0398
57.703 135.28 6.9505
57.703 135.28 6.9505
57.627 133.05 6.8611
57.548 130.83 6.7636
57.465 128.62 6.6837
57.465 128.62 6.6837
57.377 126.41 6.5785
57.286 124.21 6.4932
57.191 122.02 6.3772
57.191 122.02 6.3772
57.099 119.85 6.2754
57.005 117.67 6.1607
56.899 115.5 6.0323
56.899 115.5 6.0323
56.79 113.34 5.8899
56.68 111.19 5.7535
56.567 109.04 5.6299
56.441 106.89 5.4868
56.441 106.89 5.4868
56.312 104.75 5.3586
56.172 102.62 5.2121
56.033 100.5 5.0865
56.033 100.5 5.0865
55.89 98.371 4.9559
55.74 96.248 4.8386
55.589 94.132 4.7069
55.589 94.132 4.7069
55.442 92.022 4.601
55.281 89.913 4.4847
55.119 87.807 4.3432
54.956 85.706 4.2176
54.956 85.706 4.2176
54.786 83.618 4.0951
54.786 83.618 4.0951
54.614 81.527 3.9764
54.428 79.437 3.8437
54.251 77.357 3.7455
54.061 75.279 3.6349
53.871 73.198 3.5304
53.871 73.198 3.5304
53.684 71.137 3.4304
53.492 69.068 3.3302
53.304 67.009 3.2317
53.107 64.95 3.1314
52.917 62.901 3.0269
52.917 62.901 3.0269
52.734 60.854 2.933
52.549 58.805 2.8375
52.369 56.769 2.7579
52.369 56.769 2.7579
52.206 54.726 2.6653
52.056 52.7 2.5603
51.918 50.669 2.4338
51.805 48.648 2.3175
51.719 46.624 2.2027
51.652 44.609 2.061
51.617 42.586 1.9217
51.617 42.586 1.9217
51.598 40.577 1.7756
51.592 38.568 1.6298
51.608 36.564 1.4712
51.63 34.559 1.3109
51.63 34.559 1.3109
51.662 32.558 1.1449
51.706 30.559 0.99246
51.764 28.556 0.8362
51.828 26.559 0.6645
51.828 26.559 0.6645
51.896 24.566 0.5114
52.068 20.572 0.24451
52.068 20.572 0.24451
52.16 18.576 0.1171
52.256 16.619 0.13121
52.377 14.689 0.1739
52.377 14.689 0.1739
52.494 12.769 0.17655
52.621 10.848 0.13783
52.754 8.9379 0.12181
52.754 8.9379 0.12181
52.891 7.0367 0.1054
53.033 5.143 0.084158
53.176 3.2525 0.052476
53.325 1.3799 0.023087
53.496 -0.47124 0.038443
53.676 -2.3077 0.027049
53.676 -2.3077 0.027049
53.857 -4.1383 0.004833
54.045 -5.9601 -0.005141
54.236 -7.7773 -0.023644
54.439 -9.5847 -0.035522
54.439 -9.5847 -0.035522
54.649 -11.385 -0.062118
54.862 -13.17 -0.055712
55.083 -14.942 -0.046388
55.305 -16.715 -0.07377
55.523 -18.477 -0.099942
55.523 -18.477 -0.099942
55.758 -20.228 -0.083084
55.977 -21.975 -0.095922
55.977 -21.975 -0.095922
56.199 -23.706 -0.10754
56.415 -25.431 -0.1135
56.62 -27.146 -0.091055
56.83 -28.861 -0.097654
57.033 -30.564 -0.14578
57.249 -32.252 -0.13137
57.249 -32.252 -0.13137
57.631 -35.603 -0.15203
57.631 -35.603 -0.15203
57.631 -35.603 -0.15203
57.802 -37.262 -0.13324
57.97 -38.919 -0.13953
58.15 -40.566 -0.13788
58.313 -42.212 -0.16652
58.468 -43.85 -0.16994
58.616 -45.471 -0.17691
58.741 -47.089 -0.17823
58.846 -48.697 -0.17929
58.948 -50.304 -0.20521
59.005 -51.883 -0.18124
59.03 -53.452 -0.18131
59.028 -55.008 -0.17332
59.028 -55.008 -0.17332
59.008 -56.562 -0.20339
58.954 -58.087 -0.19686
58.875 -59.611 -0.22472
58.875 -59.611 -0.22472
58.771 -61.103 -0.19509
58.668 -62.595 -0.23221
58.579 -64.08 -0.21463
58.579 -64.08 -0.21463
58.484 -65.555 -0.23568
58.408 -67.012 -0.22462
58.34 -68.467 -0.21988
58.34 -68.467 -0.21988
58.293 -69.921 -0.24471
58.247 -71.363 -0.23209
58.213 -72.796 -0.24943
58.213 -72.796 -0.24943
58.179 -74.218 -0.21988
58.142 -75.637 -0.22544
58.099 -77.066 -0.25164
58.029 -78.474 -0.26221
